Name;STATE;COUNTY;TRACT;GEOID
Paerdegat Park;36.0;47.0;83400.0;364783400.0
Painters Playground (PS 174);36.0;81.0;69702.0;368169702.0
Park Slope Playground;36.0;47.0;31702.0;364731702.0
Parkside Playground;36.0;5.0;33602.0;36533602.0
Parkside Playground;36.0;47.0;79802.0;364779802.0
Pat Perlato Playground;36.0;47.0;62000.0;364762000.0
Paul W. Kolbert Park/Rachel Haber Cohen Playground;36.0;47.0;53800.0;364753800.0
Pelham Bay Park (Bruckner Boulevard and Wilkinson Avenue);36.0;5.0;5001.0;3655001.0
Pelham Bay Park (Bruckner CS);36.0;5.0;5001.0;3655001.0
Pelham Bay Park (Hunter Island Picnic Area);36.0;5.0;5001.0;3655001.0
Pelham Bay Park (Playground for All Children);36.0;5.0;27600.0;36527600.0
Pelham South Park Headquarters;36.0;5.0;5001.0;3655001.0
People's Park Playground;36.0;5.0;3900.0;3653900.0
Peter's Field;36.0;81.0;40400.0;368140400.0
PFC Thomas Norton Memorial Playground;36.0;47.0;64400.0;364764400.0
Pierrepont Playground;36.0;47.0;301.0;3647301.0
Pink Playground;36.0;47.0;122000.0;3647122000.0
Playground 62 (PS 220);36.0;81.0;60300.0;368160300.0
Playground 70;36.0;61.0;15900.0;366115900.0
Playground 90/PS 148 Playground;36.0;81.0;33900.0;368133900.0
Playground Fifty-Two;36.0;5.0;8500.0;3658500.0
Playground Ninety Six (XCVI);36.0;61.0;15802.0;366115802.0
Playground Seventy-Five (PS 154);36.0;81.0;125700.0;3681125700.0
Police Officer Reinaldo Salgado Playground;36.0;47.0;38500.0;364738500.0
Poor Richard's Playground;36.0;61.0;17200.0;366117200.0
Potomac Playground;36.0;47.0;26700.0;364726700.0
Pratt Playground;36.0;47.0;19300.0;364719300.0
Prescott Playground;36.0;85.0;19800.0;368519800.0
Prospect Park (East Parade Grounds);36.0;47.0;52600.0;364752600.0
Prospect Park (Litchfield Villa);36.0;47.0;16500.0;364716500.0
Prospect Park (Middle Long Meadow);36.0;47.0;17700.0;364717700.0
Prospect Park (The Bandshell);36.0;47.0;14101.0;364714101.0
Prospect Park (West Parade Grounds);36.0;47.0;44200.0;364744200.0
Prospect Park (Willink Hill);36.0;47.0;32700.0;364732700.0
