Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,Latitude,Longitude
Chelsea Recreation Center,"South of West 25 Street, 9 to 10 avenues",Yes,Yes,Manhattan,,40.7428202,-74.0077185
Cherry Tree (Washington) Playground,"99 to 100 streets, 3 Avenue",Yes,,Manhattan,,40.7877698,-73.9474512
Chester Playground,"Chester Street, Sutter Avenue",Yes,,Brooklyn,,40.6670413,-73.91102060000001
Ciccarone Park Playground,"Arthur Avenue, East 188 Street",Yes,,Bronx,,40.85642989999999,-73.8868179
City Line Park,Atlantic & Fountain avenues,Yes,,Brooklyn,,40.6801678,-73.87658139999999
Claremont Park,Mount Eden Parkway & Morris Avenue,Yes,,Bronx,,40.8430635,-73.9095456
Claremont Park Playground,E 170 Street & Teller Avenue,Yes,,Bronx,,40.83714459999999,-73.90964439999999
Clark Playground,"3 Avenue, East 144 Street, East 146 Street",Yes,Yes,Bronx,,40.8137524,-73.9220586
Clement Clark Moore Park,Broadway & 83 Street,Yes,,Queens,,40.7864684,-73.9781615
Clintonville Playground (JHS 194),"Clintonville Street, 17 Road & 17 Avenue",Yes,,Queens,,40.782644,-73.807704
Col. Charles Young Playground,West 144 Street & Lenox Avenue,Yes,,Manhattan,,40.8197453,-73.9366594
Col. David Marcus Memorial Playground,"Ocean Parkway, Avenue P, East 3 Street",Yes,,Brooklyn,,40.60940009999999,-73.9677351
Coleman Square Playground,Between Cherry & Monroe streets,Yes,,Manhattan,,40.7119365,-73.9902829
College Point Park,130th Street & 23rd Avenue,Yes,,Queens,,40.778612,-73.83886439999999
Colucci Playground,"Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue",Yes,,Bronx,,40.851854,-73.83375699999999
Columbus Park,"Adams, Johnson, Fulton, Joralemon streets",Yes,,Brooklyn,,40.6946376,-73.9891075
Columbus Park,"Baxter, Mulberry, Bayard & Worth streets",Yes,Yes,Manhattan,,40.715784,-74.0034483
Com. John Barry Park & Playground,South of Flushing Avenue,Yes,,Brooklyn,,40.7019208,-73.9369454
Com. John Barry Park & Playground,South of Flushing Avenue,No,,Brooklyn,,40.7019208,-73.9369454
Com. John Barry Park & Playground (Athletic Area),South of Flushing Avenue,No,,Brooklyn,,40.7019208,-73.9369454
Comm. Eugene S. Sarsfield Playground,"East 38 Street & Ryder Street, Avenue M",Yes,,Brooklyn,,40.6205565,-73.9370131
Coney Island,Brighton 2nd,,Yes,Brooklyn,,40.5769054,-73.9651278
Coney Island,W 27 ST.,,Yes,Brooklyn,,40.5743972,-73.9930305
Coney Island,W 33 St.,,Yes,Brooklyn,,40.5765001,-73.9998987
Coney Island Beach,Corbin Place to Coney Island Avenue,Yes,,Brooklyn,,40.6136033,-73.9631313
Coney Island Beach,Stillwell Avenue,Yes,Yes,Brooklyn,,40.5907914,-73.9841274
Coney Island Beach,West 16th Street,No,Yes,Brooklyn,,40.5799537,-73.984322
