Name;STATE;COUNTY;TRACT;GEOID;;;
Liberty Pool;36;81;44000;368144000;;;
Lincoln Terrace Park;36;47;35702;364735702;;;
Lincoln Terrace Park (Arthur S. Somers Playground);36;47;34901;364734901;;;
Linden Park;36;47;113200;3647113200;;;
Linden Park;36;81;40501;368140501;;;
Lindower Park;36;47;69800;364769800;;;
Little Flower Playground;36;61;600;3661600;;;
London Planetree Playground;36;81;3400;36813400;;;
Loreto Park Playground;36;5;25400;36525400;;;
Loring Field;36;81;84602;368184602;;;
Lost Battalion Hall;36;81;60300;368160300;;;
Lou Lodati Playground;36;81;18102;368118102;;;
Louis Armstrong Playground (PS 143);36;81;27900;368127900;;;
Louis Pasteur Park;36;81;150701;3681150701;;;
Lozada Playground;36;5;2300;3652300;;;
Luna Park Playground;36;47;35200;364735200;;;
Lyons Pool;36;85;2100;36852100;;;
Macombs Dam Park;36;5;14100;36514100;;;
Magenta Playground;36;5;37400;36537400;;;
Mahoney Playground;36;85;700;3685700;;;
Mapes Pool;36;5;37100;36537100;;;
Maple Playground;36;81;85300;368185300;;;
Marble Hill Playground;36;5;28900;36528900;;;
Marconi Park;36;81;25401;368125401;;;
Marc's & Jason's Playground;36;47;32900;364732900;;;
Marcus Garvey Park (Pelham Fritz Recreation Center);36;61;19800;366119800;;;
Marcus Garvey Park (Pool);36;61;19600;366119600;;;
Maria Hernandez Park;36;47;42900;364742900;;;
Marie Curie Park (JHS 158);36;81;145101;3681145101;;;
Marine Park;36;47;38800;364738800;;;
Marine Park Nature Center;36;47;66600;364766600;;;
Marion-Hopkinson Playground;36;47;37100;364737100;;;
Markham Playground;36;85;13800;368513800;;;
Martin Luther King Houses;36;61;18600;366118600;;;
Martinez Playground;36;47;50500;364750500;;;
Mathew Muliner Playground;36;5;23200;36523200;;;
Maurice A. Fitzgerald Playground;36;81;11600;368111600;;;
Maurice Park;36;81;51100;368151100;;;
May Matthews Playground;36;61;12101;366112101;;;
Mazzei Playground;36;5;32600;36532600;;;
McCaffrey Playground;36;61;14500;366114500;;;
McCarren Park;36;47;51700;364751700;;;
McDonald Playground;36;47;45000;364745000;;;
McDonald Playground;36;61;12500;366112500;;;
McKinley Park;36;47;13600;364713600;;;
McKinley Playground;36;61;3200;36613200;;;
McLaughlin Park;36;47;1300;36471300;;;
Mellett Playground;36;61;5200;36615200;;;
Metropolitan Pool;36;47;55300;364755300;;;
Michaelis-Bayswater Park;36;81;99200;368199200;;;
Midland Beach & Boardwalk;36;85;7002;36857002;;;
Midland Field;36;85;11203;368511203;;;
Midland Playground;36;85;11203;368511203;;;
Millbrook Playground;36;5;2701;3652701;;;
Monsignor Mcgolrick Park;36;47;58901;364758901;;;
Montbellier Park;36;81;32800;368132800;;;
Morningside Park;36;61;20901;366120901;;;
Morningside Park;36;61;19701;366119701;;;
Morningside Playground;36;61;19701;366119701;;;
Mosholu Playground (PS 8);36;5;42500;36542500;;;
Mott Playground;36;5;19700;36519700;;;
Msgnr. Kett;36;61;29100;366129100;;;
Mt. Prospect Park;36;47;20700;364720700;;;
Mullaly Park (Skate Building);36;5;6301;3656301;;;
Murray Playground;36;81;103;3681103;;;
Nautilus Playground;36;81;33401;368133401;;;
Nelson Playground;36;5;19900;36519900;;;
Newport Playground;36;47;91800;364791800;;;
Noble Playground;36;5;6000;3656000;;;
Noonan Playground;36;81;18502;368118502;;;
North Rochdale Playground (PS 30);36;81;28400;368128400;;;
Nostrand Playground;36;47;82800;364782800;;;
Ocean Hill Playground;36;47;36501;364736501;;;
Old Town Playground;36;85;6400;36856400;;;
Oracle Playground;36;47;18501;364718501;;;
Orchard Beach Pavilion;36;5;5001;3655001;;;
Orchard Beach Pavilion;36;5;5001;3655001;;;
Orville & Wilbur Playground;36;61;23501;366123501;;;
Osborn Playground;36;47;92200;364792200;;;
Owen Dolen Recreation Center;36;5;21601;36521601;;;
P.O. Nicholas Demutis Playground;36;81;9400;36819400;;;
P.O. Serrano Playground;36;5;9800;3659800;;;
Paerdegat Park;36;47;83400;364783400;;;
Painters Playground (PS 174);36;81;69702;368169702;;;
Park Slope Playground;36;47;31702;364731702;;;
Parkside Playground;36;5;33602;36533602;;;
Parkside Playground;36;47;79802;364779802;;;
Pat Perlato Playground;36;47;62000;364762000;;;
Paul W. Kolbert Park/Rachel Haber Cohen Playground;36;47;53800;364753800;;;
Pelham Bay Park (Bruckner Boulevard and Wilkinson Avenue);36;5;5001;3655001;;;
Pelham Bay Park (Bruckner CS);36;5;5001;3655001;;;
Pelham Bay Park (Hunter Island Picnic Area);36;5;5001;3655001;;;
Pelham Bay Park (Playground for All Children);36;5;27600;36527600;;;
Pelham South Park Headquarters;36;5;5001;3655001;;;
People's Park Playground;36;5;3900;3653900;;;
Peter's Field;36;81;40400;368140400;;;
PFC Thomas Norton Memorial Playground;36;47;64400;364764400;;;
Pierrepont Playground;36;47;301;3647301;;;
Pink Playground;36;47;122000;3647122000;;;
Playground 62 (PS 220);36;81;60300;368160300;;;
Playground 70;36;61;15900;366115900;;;
Playground 90/PS 148 Playground;36;81;33900;368133900;;;
Playground Fifty-Two;36;5;8500;3658500;;;
Playground Ninety Six (XCVI);36;61;15802;366115802;;;
Playground Seventy-Five (PS 154);36;81;125700;3681125700;;;
Police Officer Reinaldo Salgado Playground;36;47;38500;364738500;;;
Poor Richard's Playground;36;61;17200;366117200;;;
Potomac Playground;36;47;26700;364726700;;;
Pratt Playground;36;47;19300;364719300;;;
Prescott Playground;36;85;19800;368519800;;;
Prospect Park (East Parade Grounds);36;47;52600;364752600;;;
Prospect Park (Litchfield Villa);36;47;16500;364716500;;;
Prospect Park (Middle Long Meadow);36;47;17700;364717700;;;
Prospect Park (The Bandshell);36;47;14101;364714101;;;
